연번,종류,수량,주소,담당부서,고장난 수량
1,철봉,2,묵동 361-5,치수과,0
2,철봉,2,면목동 1049-12,치수과,0
3,철봉,1,면목동 1031-25,치수과,0
4,철봉,2,면목동 727-94,치수과,0
5,평행봉,1,묵동 361-5,치수과,0
6,평행봉,1,면목동 1049-12,치수과,0
7,평행봉,1,면목동 1031-25,치수과,0
8,평행봉,1,면목동 727-94,치수과,0
9,농구골대,2,중화동 363,치수과,0
10,농구골대,2,중화동 381-5,치수과,0
11,농구골대,2,중화동 382-2,치수과,0
12,농구골대,3,면목동 1031-451,치수과,0
13,농구골대,2,면목동 723,치수과,0
14,양팔줄당기기,1,용마폭포공원(면목동 산1-4),공원녹지과,0
15,등허리 지압 운동,1,용마폭포공원(면목동 산1-4),공원녹지과,0
16,달리기 운동,1,용마폭포공원(면목동 산1-4),공원녹지과,0
17,체스트 프레스,1,용마폭포공원(면목동 산1-4),공원녹지과,0
18,레그 프레스,1,용마폭포공원(면목동 산1-4),공원녹지과,0
19,공중걷기,1,용마폭포공원(면목동 산1-4),공원녹지과,0
20,하이플리,1,용마폭포공원(면목동 산1-4),공원녹지과,0
21,스텝싸이클,1,봉화산근린공원 [봉수대공원(신내동 602-1)],공원녹지과,0
22,워밍암,1,봉화산근린공원 [봉수대공원(신내동 602-1)],공원녹지과,0
23,입식싸이클,1,봉화산근린공원 [봉수대공원(신내동 602-1)],공원녹지과,0
24,스미스머신,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
25,암컬머신,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
26,체스트웨이트,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
27,숄더프레스머신,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
28,랫풀다운머신,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
29,버터플라이머신,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
30,레그프레스머신,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
31,윗몸일으키기,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
32,등허리젖히기,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
33,공중걷기+입식싸이클,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
34,온몸근육풀기,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
35,허리돌리기,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
36,철봉,1,봉화산근린공원 [건우체육회(묵동 산141-1)],공원녹지과,0
37,트윈트위스트,2,봉화산근린공원 [봉화산유아숲체험장(묵동 23-4)],공원녹지과,0
38,바디싣업,1,봉화산근린공원 [봉화산유아숲체험장(묵동 23-4)],공원녹지과,0
39,워밍암,1,봉화산근린공원 [봉화산유아숲체험장(묵동 23-4)],공원녹지과,0
40,풀웨이트,1,봉화산근린공원 [봉화산유아숲체험장(묵동 23-4)],공원녹지과,0
41,크로스컨트리,1,봉화산근린공원 [봉화산유아숲체험장(묵동 23-4)],공원녹지과,0
42,입식싸이클,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
43,크로스컨트리,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
44,오버턴스트레칭,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
45,스트레칭로라,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
46,롤링웨이스트,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
47,어밍암,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
48,허리돌리기,1,봉화산근린공원 [봉화원(묵동 122-12)],공원녹지과,0
49,파도타기,1,봉화산근린공원 [다랭이공원(묵동 120-6)],공원녹지과,0
50,허리돌리기,1,봉화산근린공원 [다랭이공원(묵동 120-6)],공원녹지과,0
51,공중걷기,1,봉화산근린공원 [다랭이공원(묵동 120-6)],공원녹지과,0
52,윗몸일으키기,1,봉화산근린공원 [다랭이공원(묵동 120-6)],공원녹지과,0
53,상체근육풀기,1,봉화산근린공원 [다랭이공원(묵동 120-6)],공원녹지과,0
54,파워싸이클,1,용마가족공원(면목동 산9-1),공원녹지과,0
55,스카이워킹,1,용마가족공원(면목동 산9-1),공원녹지과,0
56,사이드스윙,1,용마가족공원(면목동 산9-1),공원녹지과,0
57,레그프레스머신,1,용마가족공원(면목동 산9-1),공원녹지과,0
58,풀웨이트,1,용마가족공원(면목동 산9-1),공원녹지과,0
59,터닝암,1,용마가족공원(면목동 산9-1),공원녹지과,0
60,트위스트,1,용마가족공원(면목동 산9-1),공원녹지과,0
